business_id,year,month,day,hour,minute,second
A_LQQRX0nGr7mSxuovXgzQ,2013,1,12,23,59,56
A_LQQRX0nGr7mSxuovXgzQ,2013,1,13,16,22,0
A_LQQRX0nGr7mSxuovXgzQ,2013,1,13,20,30,0
A_LQQRX0nGr7mSxuovXgzQ,2013,1,13,20,59,54
A_LQQRX0nGr7mSxuovXgzQ,2013,1,13,21,57,35
A_LQQRX0nGr7mSxuovXgzQ,2013,1,16,1,49,52
A_LQQRX0nGr7mSxuovXgzQ,2013,1,20,1,16,42
A_LQQRX0nGr7mSxuovXgzQ,2013,1,20,16,55,21
A_LQQRX0nGr7mSxuovXgzQ,2013,1,20,22,21,32
A_LQQRX0nGr7mSxuovXgzQ,2013,1,26,22,26,41
A_LQQRX0nGr7mSxuovXgzQ,2013,1,26,23,56,31
A_LQQRX0nGr7mSxuovXgzQ,2013,1,27,17,26,35
A_LQQRX0nGr7mSxuovXgzQ,2013,2,3,16,40,34
A_LQQRX0nGr7mSxuovXgzQ,2013,2,3,18,44,39
A_LQQRX0nGr7mSxuovXgzQ,2013,2,3,23,34,14
A_LQQRX0nGr7mSxuovXgzQ,2013,2,10,1,24,34
A_LQQRX0nGr7mSxuovXgzQ,2013,2,16,23,48,17
A_LQQRX0nGr7mSxuovXgzQ,2013,2,17,16,58,22
A_LQQRX0nGr7mSxuovXgzQ,2013,2,17,21,4,30
A_LQQRX0nGr7mSxuovXgzQ,2013,2,17,22,2,44
A_LQQRX0nGr7mSxuovXgzQ,2013,2,20,19,16,29
A_LQQRX0nGr7mSxuovXgzQ,2013,2,23,21,48,51
A_LQQRX0nGr7mSxuovXgzQ,2013,2,24,19,18,48
A_LQQRX0nGr7mSxuovXgzQ,2013,2,24,19,23,20
A_LQQRX0nGr7mSxuovXgzQ,2013,2,26,2,17,41
A_LQQRX0nGr7mSxuovXgzQ,2013,3,3,16,46,29
A_LQQRX0nGr7mSxuovXgzQ,2013,3,8,2,29,18
A_LQQRX0nGr7mSxuovXgzQ,2013,3,8,2,49,42
A_LQQRX0nGr7mSxuovXgzQ,2013,3,8,2,49,43
A_LQQRX0nGr7mSxuovXgzQ,2013,3,10,21,0,29
A_LQQRX0nGr7mSxuovXgzQ,2013,3,17,19,52,11
A_LQQRX0nGr7mSxuovXgzQ,2013,3,19,18,2,14
A_LQQRX0nGr7mSxuovXgzQ,2013,3,23,23,17,21
A_LQQRX0nGr7mSxuovXgzQ,2013,3,24,18,23,56
A_LQQRX0nGr7mSxuovXgzQ,2013,3,30,20,52,1
A_LQQRX0nGr7mSxuovXgzQ,2013,3,30,21,27,34
A_LQQRX0nGr7mSxuovXgzQ,2013,4,5,1,43,42
A_LQQRX0nGr7mSxuovXgzQ,2013,4,7,16,19,36
A_LQQRX0nGr7mSxuovXgzQ,2013,4,7,18,3,37
