user_id,friend_id
hkINlY8NjM8PO7xU2Djw9Q,et4b5y1dLpNGEehltI33Iw
_4oxVkHJvouX9FtNzJ6Bmw,H5tO3ajkgdL39QSljDi8jg
_4oxVkHJvouX9FtNzJ6Bmw,aSUNko4D1UItazweIjdYmw
_4oxVkHJvouX9FtNzJ6Bmw,FoOp36zm8_4lxM_r9vjiKA
_4oxVkHJvouX9FtNzJ6Bmw,4D31e1C_9QBmvfewCh3Thg
_4oxVkHJvouX9FtNzJ6Bmw,qyUPU7J8VNEsB991DRbxQQ
_4oxVkHJvouX9FtNzJ6Bmw,q4Tbc4m2jxJ9DwUR6BCu7A
_4oxVkHJvouX9FtNzJ6Bmw,KidLQRNOOlrc2lzINzfUtg
_4oxVkHJvouX9FtNzJ6Bmw,i5s93STzaUWFS95oCI_BPA
_4oxVkHJvouX9FtNzJ6Bmw,fsbfJrlVEFje5YdnfT3SAg
AX4ff71kwApZHaeWVkH0xg,NEGiLiUcOpICP5vPUNpHhQ
AX4ff71kwApZHaeWVkH0xg,6WaFlZxILBkPG3bmGICcRg
AX4ff71kwApZHaeWVkH0xg,ync87hLd7A0JdSWL4CPTsQ
AX4ff71kwApZHaeWVkH0xg,0wvCECtv1l73836817mTsA
AX4ff71kwApZHaeWVkH0xg,2DGkyhq9Cj943W8Xfdf2uQ
AX4ff71kwApZHaeWVkH0xg,2wqWkMOtzMmYE2jAVu9CDA
AX4ff71kwApZHaeWVkH0xg,NGLCShkt4PQZE7gHAzC4Kg
AX4ff71kwApZHaeWVkH0xg,FzmaEs9QM1Alvl37EimJ5Q
AX4ff71kwApZHaeWVkH0xg,FF3hILntnLl2uiEV51iegg
AX4ff71kwApZHaeWVkH0xg,CXpiRRdRNjuFZSMkv-Rw5g
AX4ff71kwApZHaeWVkH0xg,FNL-DmNL-robAnXFcO7BhA
AX4ff71kwApZHaeWVkH0xg,gVUg3LCD8bdbSKdAKlup1g
AX4ff71kwApZHaeWVkH0xg,vnmz2T3tyDsY9J7_CNpBXQ
AX4ff71kwApZHaeWVkH0xg,pwBUydxjpG1H4Wtg7umyMQ
AX4ff71kwApZHaeWVkH0xg,UB20OFsc52L16oS_if7M0Q
gC_pHSVKly6w7xiic8c7Tw,aDxip_klV9lbCsunLZxp0w
gC_pHSVKly6w7xiic8c7Tw,zmCUyNP5GEOSePGA8OMWAg
gC_pHSVKly6w7xiic8c7Tw,afEBLpcr3rZNVdYnQGf46A
gC_pHSVKly6w7xiic8c7Tw,6lkDEg8eVcjD5Ler3Lc33g
gC_pHSVKly6w7xiic8c7Tw,uFpZIbC2nkW61jOe03MJyQ
gC_pHSVKly6w7xiic8c7Tw,wicTHS0tsspxHMhRtVVZuQ
gC_pHSVKly6w7xiic8c7Tw,PBHOXEqV1fyIT1anTj6YwQ
gC_pHSVKly6w7xiic8c7Tw,QrP_raiHSZLCX41iWfyLUQ
gC_pHSVKly6w7xiic8c7Tw,dp827Qsk432JtwkFsn3P2A
gC_pHSVKly6w7xiic8c7Tw,eaE2PB6Gwn5GJYPjbeOTrQ
gC_pHSVKly6w7xiic8c7Tw,1HYeRA7jNLsOlTg2yYqsmQ
gC_pHSVKly6w7xiic8c7Tw,NYYznmn26C8DZeYip2cx4A
gC_pHSVKly6w7xiic8c7Tw,VR8wkPwWw1ZOTw_naGGx8w
gC_pHSVKly6w7xiic8c7Tw,D4Ku1ur_7oQXlXTcsfZDQA
R4GIpj_R79OGfdXXnGG7TA,ImWNmyngKdjxx6M6Z36yNw
R4GIpj_R79OGfdXXnGG7TA,ULa5UcnlubwoDXlSc8aLgA
R4GIpj_R79OGfdXXnGG7TA,9DfH-LDS8UiHVHmO6E0uNA
BsKO3s4mM7ZOJeG23ePXIw,1e4t_EtRhv90aFgZ76KrDg
BsKO3s4mM7ZOJeG23ePXIw,Odcqvt0UMMeDWmRItCmaHg
BsKO3s4mM7ZOJeG23ePXIw,tDWxrR7PoybJJnHs2kBLeQ
BsKO3s4mM7ZOJeG23ePXIw,nyMDTYoBRvYEfWM78tBEmQ
n0akIoyyQLWnglowjFQ1Gw,3H5Ty7TV7SZvZLa1oTUGDg
n0akIoyyQLWnglowjFQ1Gw,NNL1zLTP2J_SOputgoPYeQ
n0akIoyyQLWnglowjFQ1Gw,SoMesfs19wOj0EQKsNBXlA
n0akIoyyQLWnglowjFQ1Gw,6YvEjtPtbc86BZpD_ePzfw
EP9UQibhplbQiseVxCRmhQ,mW_jnHry3uBNYptr4jw9Ww
EP9UQibhplbQiseVxCRmhQ,PmojDsMt3r15IczBfKARYQ
EP9UQibhplbQiseVxCRmhQ,8yJhfbEbLlXYxiOXRv9_HQ
EP9UQibhplbQiseVxCRmhQ,hoG1MwsaXFDrLYcTxsbFfw
EP9UQibhplbQiseVxCRmhQ,HHFyi9Zlp880extrJlWJsg
EP9UQibhplbQiseVxCRmhQ,dgJqdDsdz6F58klgAyng3A
EP9UQibhplbQiseVxCRmhQ,4AXAeQicZMpkYcvAiWJXgQ
EP9UQibhplbQiseVxCRmhQ,q_0ijotM8F0nuX4XahfMtw
EP9UQibhplbQiseVxCRmhQ,Ji9xW_KUQqCDRqBkDT5QUw
EP9UQibhplbQiseVxCRmhQ,nKfazHriLcZODlJlKQDThA
EP9UQibhplbQiseVxCRmhQ,hXk37vtNSpAaaGa_MtC7qQ
EP9UQibhplbQiseVxCRmhQ,rfEOxVEWIErPhRYN9reE3g
EP9UQibhplbQiseVxCRmhQ,9xZiOBJu8yfl6oJ2FcZ-RA
EP9UQibhplbQiseVxCRmhQ,7lbKu0HAV9FM8BOWuNd6Ag
EP9UQibhplbQiseVxCRmhQ,6km3vLiaolI8DgvI4VqsNw
EP9UQibhplbQiseVxCRmhQ,hzhE2HbVBRvKyhmp7guhUw
EP9UQibhplbQiseVxCRmhQ,4Ghcahgr3KnsUJvzKtjc0Q
EP9UQibhplbQiseVxCRmhQ,m6Ba9h3U1c3-_xNxW6x9Ow
EP9UQibhplbQiseVxCRmhQ,5IfO07Bld2Rik-mTiM-OZg
EP9UQibhplbQiseVxCRmhQ,cYQ57bxc0aSkDkldniIryA
EP9UQibhplbQiseVxCRmhQ,i5KM2itOGWjOEq8XhnjiYg
EP9UQibhplbQiseVxCRmhQ,S-mDPb10brDd6O3wvE1-AA
EP9UQibhplbQiseVxCRmhQ,-A4uQlDqmdcimxEAK9mjWA
LrVvNbhM-dECQf5KipY0-w,FgEHYhLzjMmGe6XnTxmtJQ
LrVvNbhM-dECQf5KipY0-w,oBIW6aYb9qqLNsGppu3Pww
LrVvNbhM-dECQf5KipY0-w,t2FfAlOe6c8b1RCA9U3KxA
LrVvNbhM-dECQf5KipY0-w,k_vc9SkMdIa32Uem3pbAfA
-8kWBC576e1KMrX-Dh5aqw,NWKkrswnlRkSrqF1IzliDQ
2wFD82sqVz7gypE1DNnPmg,0h2XYPP1FSLn3tLEc7UHcA
2wFD82sqVz7gypE1DNnPmg,ZbtQnr017-UEA8e1YYkdMQ
2wFD82sqVz7gypE1DNnPmg,A8O7_BalEcwevkJMCrazzQ
2wFD82sqVz7gypE1DNnPmg,3qB-Pdt1S5cliX_3mUewOg
lU_wZSHvC78QQBQe9iA3fg,dSFMasf-ABRDTiqt_vvY7g
lU_wZSHvC78QQBQe9iA3fg,5elf4EPVPEhIUJurzj8qSA
lU_wZSHvC78QQBQe9iA3fg,-zQfx36xhut8-6BUCeGGvQ
lU_wZSHvC78QQBQe9iA3fg,naAfo4H_5lr_Xj1KCTMbnw
lU_wZSHvC78QQBQe9iA3fg,fgdmHur8vKJyJhXLzPWD8w
lU_wZSHvC78QQBQe9iA3fg,YVOZzy9EsNNu_ihtdMQpjA
lU_wZSHvC78QQBQe9iA3fg,ldn6p16yJUzmYi15zMx4Lg
lU_wZSHvC78QQBQe9iA3fg,XQjHOKht4Tw_TTAUyCUG0Q
lU_wZSHvC78QQBQe9iA3fg,RM9YxMUjnsH7ydJRjQC9LA
lU_wZSHvC78QQBQe9iA3fg,Tx2vXXhnepDfdIcvn6kRkg
lU_wZSHvC78QQBQe9iA3fg,etEudrWDzOiO4bNQGacxhQ
lU_wZSHvC78QQBQe9iA3fg,zELkqceHDSF4jHnfmlJKKg
lU_wZSHvC78QQBQe9iA3fg,a-sMO6o0ZtAwMPZLgAvvkQ
lU_wZSHvC78QQBQe9iA3fg,HU4F-fkEhXc21rddGytX0w
lU_wZSHvC78QQBQe9iA3fg,JNkYT6EvaQleTc2rGyXz4A
lU_wZSHvC78QQBQe9iA3fg,Yqc9Q1bYy1nkK61-9fqIFA
lU_wZSHvC78QQBQe9iA3fg,UWKwwPXtW0Xf-mxlHidiLA
lU_wZSHvC78QQBQe9iA3fg,M-T4e_51zoLlaCuym_yViQ
lU_wZSHvC78QQBQe9iA3fg,RFRcCdXR2-tBpv83AtVMEA
lU_wZSHvC78QQBQe9iA3fg,yx0eQF_vtOB796SsO7eIlA
Otd2h3aoBg9BJj4vAqziJg,KQTO4Mie3xWlSUH6B7F4gg
MX79IMPUNaMH8KQXdEQtFw,WJ5J2zeJ9b8Ep3C0icngGg
MX79IMPUNaMH8KQXdEQtFw,g7WYOMVQqqDzW5lC8d2d7Q
onr8LI9WpAmiD9MXRwpeew,7IgdJEqahmgCjBAw3hTnqA
SaX1zv1Ut1sBIprnEVJ2bw,WwulXySQN8t2hwqH_yWurA
ACKmbRDRXVxa9rJqZqg3wQ,e91e5gDNG1jf9dI-aFKu2A
