business_id,year,month,day,hour,minute,second
Kbbm6Vd5UdbP10dwjBghRw,2014,2,11,22,52,7
Kbbm6Vd5UdbP10dwjBghRw,2014,2,13,5,20,45
Kbbm6Vd5UdbP10dwjBghRw,2014,2,14,21,52,43
Kbbm6Vd5UdbP10dwjBghRw,2014,2,15,20,38,47
Kbbm6Vd5UdbP10dwjBghRw,2014,2,15,22,55,24
Kbbm6Vd5UdbP10dwjBghRw,2014,2,16,22,31,40
Kbbm6Vd5UdbP10dwjBghRw,2014,2,17,19,52,29
Kbbm6Vd5UdbP10dwjBghRw,2014,2,19,22,22,48
Kbbm6Vd5UdbP10dwjBghRw,2014,2,20,20,26,6
Kbbm6Vd5UdbP10dwjBghRw,2014,2,22,5,29,35
Kbbm6Vd5UdbP10dwjBghRw,2014,2,22,5,32,16
Kbbm6Vd5UdbP10dwjBghRw,2014,2,22,7,3,17
Kbbm6Vd5UdbP10dwjBghRw,2014,2,23,2,51,36
Kbbm6Vd5UdbP10dwjBghRw,2014,2,23,4,59,49
Kbbm6Vd5UdbP10dwjBghRw,2014,2,23,7,21,18
Kbbm6Vd5UdbP10dwjBghRw,2014,2,23,20,1,52
Kbbm6Vd5UdbP10dwjBghRw,2014,2,24,1,37,22
Kbbm6Vd5UdbP10dwjBghRw,2014,2,24,9,17,24
Kbbm6Vd5UdbP10dwjBghRw,2014,2,25,2,34,36
Kbbm6Vd5UdbP10dwjBghRw,2014,2,26,2,21,57
Kbbm6Vd5UdbP10dwjBghRw,2014,2,26,6,6,6
Kbbm6Vd5UdbP10dwjBghRw,2014,2,28,4,16,50
Kbbm6Vd5UdbP10dwjBghRw,2014,3,1,4,57,19
Kbbm6Vd5UdbP10dwjBghRw,2014,3,2,22,35,12
Kbbm6Vd5UdbP10dwjBghRw,2014,3,3,0,14,52
Kbbm6Vd5UdbP10dwjBghRw,2014,3,3,20,18,31
Kbbm6Vd5UdbP10dwjBghRw,2014,3,3,22,33,51
Kbbm6Vd5UdbP10dwjBghRw,2014,3,4,2,45,2
Kbbm6Vd5UdbP10dwjBghRw,2014,3,5,21,53,33
Kbbm6Vd5UdbP10dwjBghRw,2014,3,6,3,17,36
Kbbm6Vd5UdbP10dwjBghRw,2014,3,6,3,31,34
Kbbm6Vd5UdbP10dwjBghRw,2014,3,7,2,42,11
Kbbm6Vd5UdbP10dwjBghRw,2014,3,8,3,31,26
Kbbm6Vd5UdbP10dwjBghRw,2014,3,8,8,35,29
Kbbm6Vd5UdbP10dwjBghRw,2014,3,9,18,53,35
Kbbm6Vd5UdbP10dwjBghRw,2014,3,9,21,15,11
Kbbm6Vd5UdbP10dwjBghRw,2014,3,11,6,43,31
Kbbm6Vd5UdbP10dwjBghRw,2014,3,11,7,11,40
Kbbm6Vd5UdbP10dwjBghRw,2014,3,12,19,47,48
Kbbm6Vd5UdbP10dwjBghRw,2014,3,13,2,13,39
Kbbm6Vd5UdbP10dwjBghRw,2014,3,13,2,24,7
Kbbm6Vd5UdbP10dwjBghRw,2014,3,14,2,49,25
Kbbm6Vd5UdbP10dwjBghRw,2014,3,14,18,36,38
