business_id,year,month,day,hour,minute,second
H_FkQxifSo13B2FWjhp36g,2012,12,3,1,21,18
H_FkQxifSo13B2FWjhp36g,2012,12,5,5,33,35
H_FkQxifSo13B2FWjhp36g,2012,12,6,4,38,44
H_FkQxifSo13B2FWjhp36g,2012,12,7,4,17,58
H_FkQxifSo13B2FWjhp36g,2012,12,9,22,34,1
H_FkQxifSo13B2FWjhp36g,2012,12,13,1,38,24
H_FkQxifSo13B2FWjhp36g,2012,12,13,19,32,36
H_FkQxifSo13B2FWjhp36g,2012,12,14,3,52,40
H_FkQxifSo13B2FWjhp36g,2012,12,15,20,14,16
H_FkQxifSo13B2FWjhp36g,2012,12,17,11,54,23
H_FkQxifSo13B2FWjhp36g,2012,12,21,16,34,43
H_FkQxifSo13B2FWjhp36g,2012,12,26,6,5,49
H_FkQxifSo13B2FWjhp36g,2013,1,1,21,34,58
H_FkQxifSo13B2FWjhp36g,2013,1,1,21,39,48
H_FkQxifSo13B2FWjhp36g,2013,1,1,23,18,30
H_FkQxifSo13B2FWjhp36g,2013,1,1,23,36,27
H_FkQxifSo13B2FWjhp36g,2013,1,2,3,54,17
H_FkQxifSo13B2FWjhp36g,2013,1,5,4,13,38
H_FkQxifSo13B2FWjhp36g,2013,1,5,22,40,7
H_FkQxifSo13B2FWjhp36g,2013,1,9,3,55,15
H_FkQxifSo13B2FWjhp36g,2013,1,11,4,50,33
H_FkQxifSo13B2FWjhp36g,2013,1,11,22,5,23
H_FkQxifSo13B2FWjhp36g,2013,1,11,22,14,4
H_FkQxifSo13B2FWjhp36g,2013,1,15,21,12,4
H_FkQxifSo13B2FWjhp36g,2013,1,16,20,25,27
H_FkQxifSo13B2FWjhp36g,2013,1,16,21,18,21
H_FkQxifSo13B2FWjhp36g,2013,1,17,21,54,22
H_FkQxifSo13B2FWjhp36g,2013,1,18,2,57,46
H_FkQxifSo13B2FWjhp36g,2013,1,19,0,47,45
H_FkQxifSo13B2FWjhp36g,2013,1,19,5,53,11
H_FkQxifSo13B2FWjhp36g,2013,1,20,16,53,34
H_FkQxifSo13B2FWjhp36g,2013,1,21,22,28,19
H_FkQxifSo13B2FWjhp36g,2013,1,25,0,51,49
H_FkQxifSo13B2FWjhp36g,2013,1,25,3,59,3
H_FkQxifSo13B2FWjhp36g,2013,1,27,2,4,7
H_FkQxifSo13B2FWjhp36g,2013,1,29,5,18,15
H_FkQxifSo13B2FWjhp36g,2013,1,30,5,19,30
H_FkQxifSo13B2FWjhp36g,2013,2,3,2,13,35
H_FkQxifSo13B2FWjhp36g,2013,2,4,20,8,29
H_FkQxifSo13B2FWjhp36g,2013,2,6,5,52,37
H_FkQxifSo13B2FWjhp36g,2013,2,7,20,2,3
H_FkQxifSo13B2FWjhp36g,2013,2,8,2,51,10
H_FkQxifSo13B2FWjhp36g,2013,2,9,4,43,9
H_FkQxifSo13B2FWjhp36g,2013,2,11,20,48,8
H_FkQxifSo13B2FWjhp36g,2013,2,12,20,52,5
H_FkQxifSo13B2FWjhp36g,2013,2,15,3,31,27
H_FkQxifSo13B2FWjhp36g,2013,2,27,4,0,6
H_FkQxifSo13B2FWjhp36g,2013,2,28,4,23,41
H_FkQxifSo13B2FWjhp36g,2013,2,28,19,53,13
H_FkQxifSo13B2FWjhp36g,2013,3,3,21,33,44
H_FkQxifSo13B2FWjhp36g,2013,3,3,22,41,42
H_FkQxifSo13B2FWjhp36g,2013,3,5,0,51,36
H_FkQxifSo13B2FWjhp36g,2013,3,5,2,21,6
H_FkQxifSo13B2FWjhp36g,2013,3,5,5,55,31
H_FkQxifSo13B2FWjhp36g,2013,3,6,3,11,45
H_FkQxifSo13B2FWjhp36g,2013,3,7,3,3,5
H_FkQxifSo13B2FWjhp36g,2013,3,9,4,14,40
H_FkQxifSo13B2FWjhp36g,2013,3,9,20,43,20
H_FkQxifSo13B2FWjhp36g,2013,3,10,0,43,42
H_FkQxifSo13B2FWjhp36g,2013,3,10,3,12,51
H_FkQxifSo13B2FWjhp36g,2013,3,11,1,39,47
H_FkQxifSo13B2FWjhp36g,2013,3,11,3,31,56
H_FkQxifSo13B2FWjhp36g,2013,3,12,19,37,9
H_FkQxifSo13B2FWjhp36g,2013,3,14,21,48,39
H_FkQxifSo13B2FWjhp36g,2013,3,14,21,59,58
H_FkQxifSo13B2FWjhp36g,2013,3,14,22,1,58
H_FkQxifSo13B2FWjhp36g,2013,3,15,19,7,21
H_FkQxifSo13B2FWjhp36g,2013,3,17,19,10,41
H_FkQxifSo13B2FWjhp36g,2013,3,27,20,5,28
H_FkQxifSo13B2FWjhp36g,2013,3,29,19,29,18
H_FkQxifSo13B2FWjhp36g,2013,3,30,3,0,37
H_FkQxifSo13B2FWjhp36g,2013,4,1,0,56,18
H_FkQxifSo13B2FWjhp36g,2013,4,2,4,4,47
H_FkQxifSo13B2FWjhp36g,2013,4,2,23,8,23
H_FkQxifSo13B2FWjhp36g,2013,4,4,3,9,46
H_FkQxifSo13B2FWjhp36g,2013,4,7,0,35,36
H_FkQxifSo13B2FWjhp36g,2013,4,7,2,29,56
H_FkQxifSo13B2FWjhp36g,2013,4,11,22,7,34
H_FkQxifSo13B2FWjhp36g,2013,4,14,19,45,0
H_FkQxifSo13B2FWjhp36g,2013,4,16,19,54,50
H_FkQxifSo13B2FWjhp36g,2013,4,18,23,42,10
H_FkQxifSo13B2FWjhp36g,2013,4,19,20,41,36
H_FkQxifSo13B2FWjhp36g,2013,4,22,5,10,55
H_FkQxifSo13B2FWjhp36g,2013,4,26,0,5,15
H_FkQxifSo13B2FWjhp36g,2013,5,1,20,7,38
H_FkQxifSo13B2FWjhp36g,2013,5,3,3,20,45
H_FkQxifSo13B2FWjhp36g,2013,5,3,4,39,58
