business_id,year,month,day,hour,minute,second
CZF9Nm8CFY2R9ZhfwYIARQ,2013,10,1,8,44,12
CZF9Nm8CFY2R9ZhfwYIARQ,2013,10,2,0,30,47
CZF9Nm8CFY2R9ZhfwYIARQ,2013,10,2,19,15,25
CZF9Nm8CFY2R9ZhfwYIARQ,2013,10,4,2,23,52
CZF9Nm8CFY2R9ZhfwYIARQ,2013,10,12,1,44,8
CZF9Nm8CFY2R9ZhfwYIARQ,2013,10,26,20,29,20
CZF9Nm8CFY2R9ZhfwYIARQ,2013,10,27,4,16,1
CZF9Nm8CFY2R9ZhfwYIARQ,2013,10,28,0,30,32
CZF9Nm8CFY2R9ZhfwYIARQ,2013,11,7,19,43,2
CZF9Nm8CFY2R9ZhfwYIARQ,2013,11,9,2,39,15
CZF9Nm8CFY2R9ZhfwYIARQ,2013,11,13,20,1,23
CZF9Nm8CFY2R9ZhfwYIARQ,2013,11,14,0,35,39
CZF9Nm8CFY2R9ZhfwYIARQ,2013,11,21,19,42,3
CZF9Nm8CFY2R9ZhfwYIARQ,2013,11,25,2,10,29
CZF9Nm8CFY2R9ZhfwYIARQ,2013,11,28,8,32,17
CZF9Nm8CFY2R9ZhfwYIARQ,2013,11,30,8,9,21
CZF9Nm8CFY2R9ZhfwYIARQ,2013,12,16,9,30,55
CZF9Nm8CFY2R9ZhfwYIARQ,2013,12,17,19,41,25
CZF9Nm8CFY2R9ZhfwYIARQ,2013,12,18,21,6,18
CZF9Nm8CFY2R9ZhfwYIARQ,2013,12,21,2,9,3
CZF9Nm8CFY2R9ZhfwYIARQ,2013,12,24,5,23,21
CZF9Nm8CFY2R9ZhfwYIARQ,2013,12,24,21,14,37
CZF9Nm8CFY2R9ZhfwYIARQ,2013,12,27,3,8,43
CZF9Nm8CFY2R9ZhfwYIARQ,2014,1,12,1,49,48
CZF9Nm8CFY2R9ZhfwYIARQ,2014,1,14,19,36,28
CZF9Nm8CFY2R9ZhfwYIARQ,2014,1,17,6,53,0
CZF9Nm8CFY2R9ZhfwYIARQ,2014,1,18,2,15,30
